Date,Average Temperature,Minimum Temperature,Maximum Temperature,Day,Month,Year
2013-09-01,27.9,26,33,01,09,2013
2013-09-02,29.6,24,34,02,09,2013
2013-09-03,26.9,23,34,03,09,2013
2013-09-04,26.6,23,33,04,09,2013
2013-09-05,27.5,24,33,05,09,2013
2013-09-06,26.8,24,32,06,09,2013
2013-09-07,26,23,33,07,09,2013
2013-09-08,26.6,25,32,08,09,2013
2013-09-09,26.2,24,31,09,09,2013
2013-09-10,25.6,23,32,10,09,2013
2013-09-11,26.4,24,30,11,09,2013
2013-09-12,25.2,24,31,12,09,2013
2013-09-13,26.8,23,30,13,09,2013
2013-09-14,24.3,23,28,14,09,2013
2013-09-15,27.4,24,32,15,09,2013
2013-09-16,27.4,24,31,16,09,2013
2013-09-17,26.2,24,29,17,09,2013
2013-09-18,25.9,24,29,18,09,2013
2013-09-19,26.3,23,31,19,09,2013
2013-09-20,25.8,24,30,20,09,2013
2013-09-21,24.7,23,28,21,09,2013
2013-09-22,24.9,24,27,22,09,2013
2013-09-23,26.1,24,29,23,09,2013
2013-09-24,27.4,24,31,24,09,2013
2013-09-25,28.1,26,32,25,09,2013
2013-09-26,26.9,23,31,26,09,2013
2013-09-27,26.1,23,30,27,09,2013
2013-09-28,25.2,24,29,28,09,2013
2013-09-29,25.1,24,28,29,09,2013
2013-09-30,26.8,23,31,30,09,2013
2013-10-01,27.4,25,30,01,10,2013
2013-10-02,28.1,24,31,02,10,2013
2013-10-03,26.9,23,31,03,10,2013
2013-10-04,26.5,23,31,04,10,2013
2013-10-05,25.6,24,29,05,10,2013
2013-10-06,24.9,23,29,06,10,2013
2013-10-07,26.2,24,31,07,10,2013
2013-10-08,27.6,23,33,08,10,2013
2013-10-09,25.9,23,28,09,10,2013
2013-10-10,26.4,24,30,10,10,2013
2013-10-11,26.6,24,32,11,10,2013
2013-10-12,26.9,23,31,12,10,2013
2013-10-13,27.1,25,31,13,10,2013
2013-10-14,27.8,24,31,14,10,2013
2013-10-15,27.2,24,32,15,10,2013
2013-10-16,25.5,23,31,16,10,2013
2013-10-17,25.9,23,32,17,10,2013
2013-10-18,26.9,24,31,18,10,2013
2013-10-19,26.2,23,32,19,10,2013
2013-10-20,26.9,24,32,20,10,2013
2013-10-21,26.8,24,31,21,10,2013
2013-10-22,27.2,24,32,22,10,2013
2013-10-23,27.3,23,31,23,10,2013
2013-10-24,27.2,24,32,24,10,2013
2013-10-25,26.2,24,32,25,10,2013
2013-10-26,26.9,23,32,26,10,2013
2013-10-27,26.6,23,32,27,10,2013
2013-10-28,27.4,24,30,28,10,2013
2013-10-29,27.6,24,32,29,10,2013
2013-10-30,27.2,24,32,30,10,2013
2013-10-31,27.3,23,31,31,10,2013
2013-11-01,27.3,24,32,01,11,2013
2013-11-02,27.3,24,33,02,11,2013
2013-11-03,27.4,23,33,03,11,2013
2013-11-04,28.1,23,32,04,11,2013
2013-11-05,27.2,24,32,05,11,2013
2013-11-06,26.8,24,32,06,11,2013
2013-11-07,23.9,25,31,07,11,2013
2013-11-08,26.7,23,32,08,11,2013
2013-11-09,27.4,23,32,09,11,2013
2013-11-10,28.4,24,33,10,11,2013
2013-11-11,27.9,26,32,11,11,2013
2013-11-12,28.2,26,32,12,11,2013
2013-11-13,27.9,25,33,13,11,2013
2013-11-14,28.3,24,33,14,11,2013
2013-11-15,25.1,24,28,15,11,2013
2013-11-16,27.2,23,32,16,11,2013
2013-11-17,26.3,23,32,17,11,2013
2013-11-18,26.9,23,31,18,11,2013
2013-11-19,27.4,24,31,19,11,2013
2013-11-20,25.4,22,30,20,11,2013
2013-11-21,25.4,23,32,21,11,2013
2013-11-22,26.1,23,32,22,11,2013
2013-11-23,26.4,23,30,23,11,2013
2013-11-24,26.4,24,32,24,11,2013
2013-11-25,26.7,22,32,25,11,2013
2013-11-26,27.5,23,32,26,11,2013
2013-11-27,26.1,24,31,27,11,2013
2013-11-28,26.7,23,33,28,11,2013
2013-11-29,26.8,23,32,29,11,2013
2013-11-30,26.1,23,31,30,11,2013
2013-12-01,25.5,21,31,01,12,2013
2013-12-02,25.9,21,32,02,12,2013
2013-12-03,26.5,21,31,03,12,2013
2013-12-04,26,24,32,04,12,2013
2013-12-05,25.9,22,31,05,12,2013
2013-12-06,25,21,29,06,12,2013
2013-12-07,24.9,21,31,07,12,2013
2013-12-08,26.3,21,31,08,12,2013
2013-12-09,26.5,22,32,09,12,2013
2013-12-10,25.9,22,31,10,12,2013
2013-12-11,26.2,24,33,11,12,2013
2013-12-12,26.3,23,32,12,12,2013
2013-12-13,27.5,22,31,13,12,2013
2013-12-14,26.9,23,31,14,12,2013
2013-12-15,26.9,22,32,15,12,2013
