Date,Average Temperature,Minimum Temperature,Maximum Temperature,Day,Month,Year
9/1/2013,27.9,26,33,1,9,2013
9/2/2013,29.6,24,34,2,9,2013
9/3/2013,26.9,23,34,3,9,2013
9/4/2013,26.6,23,33,4,9,2013
9/5/2013,27.5,24,33,5,9,2013
9/6/2013,26.8,24,32,6,9,2013
9/7/2013,26,23,33,7,9,2013
9/8/2013,26.6,25,32,8,9,2013
9/9/2013,26.2,24,31,9,9,2013
9/10/2013,25.6,23,32,10,9,2013
9/11/2013,26.4,24,30,11,9,2013
9/12/2013,25.2,24,31,12,9,2013
9/13/2013,26.8,23,30,13,9,2013
9/14/2013,24.3,23,28,14,9,2013
9/15/2013,27.4,24,32,15,9,2013
9/16/2013,27.4,24,31,16,9,2013
9/17/2013,26.2,24,29,17,9,2013
9/18/2013,25.9,24,29,18,9,2013
9/19/2013,26.3,23,31,19,9,2013
9/20/2013,25.8,24,30,20,9,2013
9/21/2013,24.7,23,28,21,9,2013
9/22/2013,24.9,24,27,22,9,2013
9/23/2013,26.1,24,29,23,9,2013
9/24/2013,27.4,24,31,24,9,2013
9/25/2013,28.1,26,32,25,9,2013
9/26/2013,26.9,23,31,26,9,2013
9/27/2013,26.1,23,30,27,9,2013
9/28/2013,25.2,24,29,28,9,2013
9/29/2013,25.1,24,28,29,9,2013
9/30/2013,26.8,23,31,30,9,2013
10/1/2013,27.4,25,30,1,10,2013
10/2/2013,28.1,24,31,2,10,2013
10/3/2013,26.9,23,31,3,10,2013
10/4/2013,26.5,23,31,4,10,2013
10/5/2013,25.6,24,29,5,10,2013
10/6/2013,24.9,23,29,6,10,2013
10/7/2013,26.2,24,31,7,10,2013
10/8/2013,27.6,23,33,8,10,2013
10/9/2013,25.9,23,28,9,10,2013
10/10/2013,26.4,24,30,10,10,2013
10/11/2013,26.6,24,32,11,10,2013
10/12/2013,26.9,23,31,12,10,2013
10/13/2013,27.1,25,31,13,10,2013
10/14/2013,27.8,24,31,14,10,2013
10/15/2013,27.2,24,32,15,10,2013
10/16/2013,25.5,23,31,16,10,2013
10/17/2013,25.9,23,32,17,10,2013
10/18/2013,26.9,24,31,18,10,2013
10/19/2013,26.2,23,32,19,10,2013
10/20/2013,26.9,24,32,20,10,2013
10/21/2013,26.8,24,31,21,10,2013
10/22/2013,27.2,24,32,22,10,2013
10/23/2013,27.3,23,31,23,10,2013
10/24/2013,27.2,24,32,24,10,2013
10/25/2013,26.2,24,32,25,10,2013
10/26/2013,26.9,23,32,26,10,2013
10/27/2013,26.6,23,32,27,10,2013
10/28/2013,27.4,24,30,28,10,2013
10/29/2013,27.6,24,32,29,10,2013
10/30/2013,27.2,24,32,30,10,2013
10/31/2013,27.3,23,31,31,10,2013
11/1/2013,27.3,24,32,1,11,2013
11/2/2013,27.3,24,33,2,11,2013
11/3/2013,27.4,23,33,3,11,2013
11/4/2013,28.1,23,32,4,11,2013
11/5/2013,27.2,24,32,5,11,2013
11/6/2013,26.8,24,32,6,11,2013
11/7/2013,23.9,25,31,7,11,2013
11/8/2013,26.7,23,32,8,11,2013
11/9/2013,27.4,23,32,9,11,2013
11/10/2013,28.4,24,33,10,11,2013
11/11/2013,27.9,26,32,11,11,2013
11/12/2013,28.2,26,32,12,11,2013
11/13/2013,27.9,25,33,13,11,2013
11/14/2013,28.3,24,33,14,11,2013
11/15/2013,25.1,24,28,15,11,2013
11/16/2013,27.2,23,32,16,11,2013
11/17/2013,26.3,23,32,17,11,2013
11/18/2013,26.9,23,31,18,11,2013
11/19/2013,27.4,24,31,19,11,2013
11/20/2013,25.4,22,30,20,11,2013
11/21/2013,25.4,23,32,21,11,2013
11/22/2013,26.1,23,32,22,11,2013
11/23/2013,26.4,23,30,23,11,2013
11/24/2013,26.4,24,32,24,11,2013
11/25/2013,26.7,22,32,25,11,2013
11/26/2013,27.5,23,32,26,11,2013
11/27/2013,26.1,24,31,27,11,2013
11/28/2013,26.7,23,33,28,11,2013
11/29/2013,26.8,23,32,29,11,2013
11/30/2013,26.1,23,31,30,11,2013
12/1/2013,25.5,21,31,1,12,2013
12/2/2013,25.9,21,32,2,12,2013
